post url,post title,post price,post location
https://newyork.craigslist.org/brx/apa/d/bronx-brand-new-studio-apartment-hasa/7694952948.html,Brand new studio Apartment. -HASA welcome,"$2,200",Bronx
https://newyork.craigslist.org/mnh/apa/d/new-york-remarkable-condo-finishestop/7694951995.html,REMARKABLE CONDO FINISHES=TOP FLOOR=NEW CONSTRUCTION=CITY VIEW,"$4,950",Financial District
https://newyork.craigslist.org/mnh/apa/d/new-york-top-floorhigh-ceilingsamazing/7694951412.html,TOP FLOOR=HIGH CEILINGS=AMAZING CITY VIEWS=LARGE CLOSETS=OPEN SPACE,"$3,200",Financial District
https://newyork.craigslist.org/mnh/apa/d/new-york-completely-renovated-condo/7694951096.html,COMPLETELY RENOVATED-CONDO FINISHES-TOP FLOOR-OPEN KITCHEN-CLOSETS,"$5,500",TriBeCa
https://newyork.craigslist.org/mnh/apa/d/new-york-very-low-security-depositno/7694950124.html,"Very Low security deposit*No Fee, Above the stars high floor*Surreal v","$14,995",Financial District
https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-bedroom-on-very-quiet/7694949271.html,Charming 1 Bedroom on very Quiet Residential Block,"$1,900",East Flatbush
https://newyork.craigslist.org/que/apa/d/bayside-br-near-bayside/7694948569.html,"2 BR near BAYSIDE LIRR,RENOVATEDkit/StainlessStoveWOODfl,YARD,AbsentLL","$2,100","Bayside near BAYSIDE LIRR, Douglaston and Little Neck"
https://newyork.craigslist.org/que/apa/d/rosedale-1br-rosedale-queens/7694945716.html,1br rosedale queens,"$1,800",Rosedale queens
https://newyork.craigslist.org/brk/apa/d/brooklyn-cozy-first-floor-studio-in-pre/7694945802.html,Cozy first floor studio in a pre war  rent stable building,"$1,575",Bay Ridge
https://newyork.craigslist.org/mnh/apa/d/new-york-charming-1br-in-east-village/7694944500.html,Charming 1BR in East Village,"$2,900",East Village
https://newyork.craigslist.org/brk/apa/d/brooklyn-friggin-steal-bed-bath-in/7694944061.html,🔥A FRIGGIN STEAL🔥 1 bed/1 bath in Bedstuy ☀️ Lots of Windows!!!,"$2,400",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-the-most-ideal-bed-king-sized/7694943911.html,The most IDEAL 1 BED 😍 KING SIZED BEDROOM + W/D in unit! ⚡️,"$2,900",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-bushwick-bed-with-tons-of/7694943752.html,Bushwick 3 bed with TONS of Natural Light ☀️,"$3,200",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-bed-backyard-bushwick-bedstuy/7694943618.html,2 BED + BACKYARD 🌳😭🔥 BUSHWICK/BEDSTUY BORDER 🚊,"$2,700",Brooklyn
https://newyork.craigslist.org/brk/apa/d/brooklyn-bed-oasis-private-backyard/7694943208.html,1 bed oasis w/private backyard 🌳⚡️,"$2,450",Brooklyn
